date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:53:22	8627/8627	---MCZ	200	added ('OK')	text/html	etag:W/%225b4c77b1-21b3%22	https://mdbootstrap.com/previews/docs/latest/html/navigation/side-nav-fixed-navbar-fixed.html	C:/My%20Web%20Sites/Double%20Navigation%20with%20fixed%20SideNav%20&%20fixed%20Navbar/mdbootstrap.com/previews/docs/latest/html/navigation/side-nav-fixed-navbar-fixed.html	(from )
22:53:23	131/131	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Sep%202018%2016:53:22%20GMT	https://mdbootstrap.com/robots.txt		(from )
22:53:24	37414/37414	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4910-9226%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	C:/My%20Web%20Sites/Double%20Navigation%20with%20fixed%20SideNav%20&%20fixed%20Navbar/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	(from https://mdbootstrap.com/previews/docs/latest/html/navigation/side-nav-fixed-navbar-fixed.html)
22:53:27	137211/137211	---MCZ	200	added ('OK')	text/css	etag:W/%225b4c77ad-217fb%22	https://mdbootstrap.com/previews/docs/latest/css/bootstrap.min.css	C:/My%20Web%20Sites/Double%20Navigation%20with%20fixed%20SideNav%20&%20fixed%20Navbar/mdbootstrap.com/previews/docs/latest/css/bootstrap.min.css	(from https://mdbootstrap.com/previews/docs/latest/html/navigation/side-nav-fixed-navbar-fixed.html)
22:53:29	503859/503859	---MCZ	200	added ('OK')	text/css	etag:W/%225b4c77ad-7b033%22	https://mdbootstrap.com/previews/docs/latest/css/mdb.min.css	C:/My%20Web%20Sites/Double%20Navigation%20with%20fixed%20SideNav%20&%20fixed%20Navbar/mdbootstrap.com/previews/docs/latest/css/mdb.min.css	(from https://mdbootstrap.com/previews/docs/latest/html/navigation/side-nav-fixed-navbar-fixed.html)
22:53:30	86927/86927	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b4c77c2-1538f%22	https://mdbootstrap.com/previews/docs/latest/js/jquery-3.3.1.min.js	C:/My%20Web%20Sites/Double%20Navigation%20with%20fixed%20SideNav%20&%20fixed%20Navbar/mdbootstrap.com/previews/docs/latest/js/jquery-3.3.1.min.js	(from https://mdbootstrap.com/previews/docs/latest/html/navigation/side-nav-fixed-navbar-fixed.html)
22:53:30	19197/19197	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b4c77c3-4afd%22	https://mdbootstrap.com/previews/docs/latest/js/popper.min.js	C:/My%20Web%20Sites/Double%20Navigation%20with%20fixed%20SideNav%20&%20fixed%20Navbar/mdbootstrap.com/previews/docs/latest/js/popper.min.js	(from https://mdbootstrap.com/previews/docs/latest/html/navigation/side-nav-fixed-navbar-fixed.html)
22:53:33	77281/77281	---M--	200	added ('OK')	image/png	etag:%2259f85a4f-12de1%22	https://mdbootstrap.com/img/logo/mdb-transparent.png	C:/My%20Web%20Sites/Double%20Navigation%20with%20fixed%20SideNav%20&%20fixed%20Navbar/mdbootstrap.com/img/logo/mdb-transparent.png	(from https://mdbootstrap.com/previews/docs/latest/html/navigation/side-nav-fixed-navbar-fixed.html)
22:53:33	50731/50731	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b4c77c3-c62b%22	https://mdbootstrap.com/previews/docs/latest/js/bootstrap.min.js	C:/My%20Web%20Sites/Double%20Navigation%20with%20fixed%20SideNav%20&%20fixed%20Navbar/mdbootstrap.com/previews/docs/latest/js/bootstrap.min.js	(from https://mdbootstrap.com/previews/docs/latest/html/navigation/side-nav-fixed-navbar-fixed.html)
22:53:34	211/211	---M--	200	added ('OK')	image/png	etag:%225ad6146e-d3%22	https://mdbootstrap.com/previews/docs/latest/img//overlays/01.png	C:/My%20Web%20Sites/Double%20Navigation%20with%20fixed%20SideNav%20&%20fixed%20Navbar/mdbootstrap.com/previews/docs/latest/img/overlays/01.png	(from https://mdbootstrap.com/previews/docs/latest/css/mdb.min.css)
22:53:36	401210/401210	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b4c77c3-61f3a%22	https://mdbootstrap.com/previews/docs/latest/js/mdb.min.js	C:/My%20Web%20Sites/Double%20Navigation%20with%20fixed%20SideNav%20&%20fixed%20Navbar/mdbootstrap.com/previews/docs/latest/js/mdb.min.js	(from https://mdbootstrap.com/previews/docs/latest/html/navigation/side-nav-fixed-navbar-fixed.html)
